Timestamp,PM2.5,PM10
2021-01-03 00:05:00.198,7,8
2021-01-03 00:05:02.360,6,10
2021-01-03 00:05:03.089,6,11
2021-01-03 00:05:03.817,6,11
2021-01-03 00:05:04.546,6,10
2021-01-03 00:05:05.275,6,10
2021-01-03 00:05:06.704,5,8
2021-01-03 00:05:07.433,5,8
2021-01-03 00:05:08.162,5,8
2021-01-03 00:05:08.890,5,8
2021-01-03 00:05:10.320,6,10
2021-01-03 00:05:11.049,6,10
2021-01-03 00:05:11.778,6,10
2021-01-03 00:05:12.509,6,10
2021-01-03 00:05:15.396,3,6
2021-01-03 00:05:16.125,3,6
2021-01-03 00:05:16.853,2,6
2021-01-03 00:05:17.584,2,6
2021-01-03 00:05:19.743,2,3
2021-01-03 00:05:20.472,2,2
2021-01-03 00:05:21.201,2,2
2021-01-03 00:05:22.630,3,3
2021-01-03 00:05:23.359,3,3
2021-01-03 00:05:24.088,3,3
2021-01-03 00:05:24.816,3,3
2021-01-03 00:05:25.545,3,3
2021-01-03 00:05:26.975,3,3
2021-01-03 00:05:27.704,5,5
2021-01-03 00:05:29.164,6,6
2021-01-03 00:05:30.594,6,6
2021-01-03 00:05:31.322,7,7
2021-01-03 00:05:32.051,7,7
2021-01-03 00:05:33.481,7,7
2021-01-03 00:05:34.210,5,5
2021-01-03 00:05:34.938,6,6
2021-01-03 00:05:35.667,6,6
2021-01-03 00:05:37.097,2,2
2021-01-03 00:05:37.826,3,3
2021-01-03 00:05:38.554,3,3
2021-01-03 00:05:40.716,3,3
2021-01-03 00:05:41.444,3,3
2021-01-03 00:05:42.173,2,2
2021-01-03 00:05:42.902,2,2
2021-01-03 00:05:43.630,5,5
2021-01-03 00:05:45.792,6,6
2021-01-03 00:05:46.521,6,6
2021-01-03 00:05:47.951,6,6
2021-01-03 00:05:49.411,8,8
2021-01-03 00:05:50.139,8,8
2021-01-03 00:05:51.569,7,7
2021-01-03 00:05:52.297,7,7
2021-01-03 00:05:53.026,5,5
2021-01-03 00:05:53.755,5,5
2021-01-03 00:05:55.916,5,5
2021-01-03 00:05:56.645,5,5
2021-01-03 00:05:58.803,5,5
2021-01-03 00:05:59.534,5,5
2021-01-03 00:06:00.991,5,5
2021-01-03 00:06:01.720,3,3
2021-01-03 00:06:04.609,3,3
2021-01-03 00:06:05.337,3,3
2021-01-03 00:06:06.066,3,3
2021-01-03 00:06:07.496,3,3
2021-01-03 00:06:08.956,3,3
2021-01-03 00:06:09.689,3,3
2021-01-03 00:06:11.118,2,2
2021-01-03 00:06:11.847,2,2
2021-01-03 00:06:12.576,2,2
2021-01-03 00:06:13.305,2,2
2021-01-03 00:06:14.734,2,7
2021-01-03 00:06:15.463,2,7
2021-01-03 00:06:16.192,2,7
2021-01-03 00:06:16.920,2,7
2021-01-03 00:06:17.649,2,7
2021-01-03 00:06:19.079,2,7
2021-01-03 00:06:19.807,2,6
2021-01-03 00:06:20.539,2,6
2021-01-03 00:06:21.267,2,6
2021-01-03 00:06:23.426,2,6
2021-01-03 00:06:24.155,2,6
2021-01-03 00:06:24.883,2,7
2021-01-03 00:06:25.614,2,7
2021-01-03 00:06:27.044,5,8
2021-01-03 00:06:27.773,5,8
2021-01-03 00:06:29.959,3,7
2021-01-03 00:06:30.782,3,7
2021-01-03 00:06:32.212,3,3
2021-01-03 00:06:32.941,3,3
2021-01-03 00:06:33.670,3,3
2021-01-03 00:06:34.398,3,3
2021-01-03 00:06:35.828,3,3
2021-01-03 00:06:36.557,3,3
2021-01-03 00:06:37.286,3,3
2021-01-03 00:06:39.445,3,5
2021-01-03 00:06:40.901,3,5
2021-01-03 00:06:41.634,3,5
2021-01-03 00:06:42.363,3,5
2021-01-03 00:06:44.521,3,5
2021-01-03 00:06:45.250,3,5
2021-01-03 00:06:46.710,3,5
2021-01-03 00:06:48.140,5,6
2021-01-03 00:06:48.868,5,6
2021-01-03 00:06:49.597,5,5
2021-01-03 00:06:50.326,5,5
2021-01-03 00:06:51.755,3,5
2021-01-03 00:06:52.484,3,5
2021-01-03 00:06:53.213,3,5
2021-01-03 00:06:53.942,3,5
2021-01-03 00:06:54.670,5,6
2021-01-03 00:06:56.100,5,6
2021-01-03 00:06:59.021,5,5
2021-01-03 00:07:00.451,5,5
2021-01-03 00:07:01.907,6,6
2021-01-03 00:07:02.638,6,6
2021-01-03 00:07:04.068,6,6
2021-01-03 00:07:06.956,6,6
2021-01-03 00:07:07.687,5,5
2021-01-03 00:07:08.416,6,6
2021-01-03 00:07:09.145,6,6
2021-01-03 00:07:10.575,6,6
2021-01-03 00:07:11.304,6,6
2021-01-03 00:07:12.032,6,6
2021-01-03 00:07:12.764,6,6
2021-01-03 00:07:14.922,6,6
2021-01-03 00:07:15.651,6,6
2021-01-03 00:07:16.380,6,6
2021-01-03 00:07:17.108,6,6
2021-01-03 00:07:18.541,7,7
2021-01-03 00:07:20.726,6,6
